K H I H	1042 0 1008
F Y N P	1032 0 975 1090
O A Y Q	959 0 883 1035
V K Q	1046 0 1015
O C T W	0 787 968
Q H P H	910 0 876
C R A	963 1125 1247 0 931 1280
D K V G	975 0 925 1079
E T Y	422 652 916 0 391 945
O S D	362 961 0 331 992
T E U	386 0 318 453
D P P	362 1061 0 331 1092
O C S	865 0 788 943
P K W A	1046 0 1018
O T D	362 961 0 331 992
A Y R	1000 1147 1245 0 970 1279
K G V K	1058 0 1037
N V S I	965 0 934
Y N E S	422 654 920 0 391 949
W F N W	936 0 905
L F L	957 0 926
A I K A	1046 0 1018
C D Y	362 566 825 0 331 855
T F E	422 695 968 0 391 999
D O M I	362 969 0 331 1000
M O E Y	422 652 916 0 391 945
E G R	899 1091 1248 0 866 1280
W T E	422 695 968 0 391 999
M Y C G	956 0 788 984
D G F	362 638 914 0 331 945
S T P I	965 0 934
S K D F	917 0 877 1081
W U F F	910 0 879
G D M T	362 637 911 0 331 942
S H S	910 0 877
R V M	1243 0 1210
U D N M	362 922 0 331 953
U Q T	907 0 876
F O Y	958 0 881 1035
A V N	877 0 846
N N C S	865 0 788 943
V E O F	422 668 914 0 391 945
Y E W A	422 681 969 0 391 992
N I Y	958 0 881 1035
N V S	912 0 881
G W Q A	966 0 935
S T M	918 0 887
U Y A V	983 0 928 1038
N T C V	834 889 944 0 786 992
V U N T	907 0 876
F D N Q	362 638 914 0 331 945
A F R	1243 0 1210
Y N D	362 962 0 331 985
Y E C P	422 596 823 0 391 857
T K W	1046 0 1015
M Q G	957 0 926
E S Y C	422 596 823 0 391 857
G S H F	908 0 875
I T E	422 695 968 0 391 999
F N E	422 695 968 0 391 999
S U M	918 0 887
A F P Q	910 0 879
U G T	907 0 876
H A K O	1044 0 1014
D G	362 961 0 331 992
A C N	848 0 787 909
A W C	818 922 1025 0 784 1059
P S V H	912 0 879
T A Y	958 0 881 1035
K R D	1045 1200 1228 0 1014 1278
C Y G	956 0 788 984
H T N	875 0 842
T U G L	957 0 926
F M I	965 0 934
O M Y C	828 876 1001 0 785 1024
U I L V	959 0 928
W N A	966 0 935
K N T K	1058 0 1037
D Q A	362 970 0 331 1001
A M L	957 0 926
L C G W	0 787 968
N P M S	912 0 881
G E M	422 672 922 0 391 953
H G V	957 0 924
Y G O V	983 0 928 1038
O P W M	918 0 887
V E D D	375 0 309 404
G L N	877 0 846
U M A Q	910 0 879
F U O G	957 0 926
O S	912 0 881
R I P Q	1243 0 1210
D P V K	896 0 859 1082
K T Q	1046 0 1015
M V F	910 0 879
E W S U	386 0 318 453
W K T H	1044 0 1011
T N W Y	958 0 881 1035
D V H K	892 0 855 1081
C T Q H	832 0 783 943
L O N Q	910 0 879
O W L	957 0 926
D U W	362 940 0 331 971
U A M U	345 0 314
L W L	957 0 926
D C G Y	362 566 825 0 331 855
A S Q	910 0 879
N D P N	362 622 881 0 331 912
I Q K	1047 0 1015
Q S K R	1240 0 1207
A K U	1048 0 1015
Y C E	422 596 824 0 391 858
D V T V	362 963 0 331 994
R D H	910 1108 1248 0 876 1280
N U A L	957 0 926
H M W	934 0 901
U D A	362 970 0 331 1001
D C I N	362 575 822 0 331 847
S Y R D	982 0 924 1041
K P R C	1052 1204 1227 0 1029 1278
P C M	868 0 788 949
R P Q W	1243 0 1210
Q G C D	362 575 822 0 331 854
U U A	966 0 935
S W L	957 0 926
P G C C	824 0 767 862
Y I U H	933 0 882 1033
C I S G	835 888 941 0 786 990
H O R	1241 0 1207
Y O W	972 0 908 1035
U W Q	910 0 879
S U I	965 0 934
A F I	965 0 934
I G W	936 0 905
P Q C F	864 0 788 941
K R A	1240 0 1207
E D A	410 0 333 458
R D U	368 1249 0 347 1280
Q D U Y	362 622 916 0 331 945
C H S A	820 0 781 997
G M P Q	910 0 879
K M K Q	1058 0 1037
E H P C	597 708 818 0 563 853
Q G R	1243 0 1210
T N N D	362 961 0 331 992
A T A	966 0 935
R C N	874 1079 1248 0 849 1280
N U W	936 0 905
G K E O	981 0 930 1079
S O N A	966 0 935
V M D	362 961 0 331 992
C Q R E	830 891 953 0 783 1000
I L D C	362 575 821 0 331 854
L C I M	868 0 788 949
K Q Y H	1008 0 969 1090
S M I	965 0 934
H T D C	598 708 818 0 563 853
A L Q	910 0 879
K G E N	879 1005 1030 0 843 1083
E R U G	955 1120 1248 0 922 1280
T U C	818 922 1025 0 784 1059
U T R H	1241 0 1207
K O U L	1046 0 1017
K N O A	1046 0 1018
L D W	362 940 0 331 971
Q C R O	959 1123 1247 0 927 1280
E C D	417 0 330 462
H W Q	908 0 875
R K V	1240 0 1207
C Q E G	422 605 822 0 391 854
Y Y W R	1005 0 961 1053
E L	422 692 961 0 391 992
F Y L	982 0 927 1038
R K N	1240 0 1207
K C L	973 0 924 1079
F Q M H	912 0 879
N R I	1243 0 1210
I D Q	362 638 914 0 331 945
H Q C	814 946 1022 0 781 1059
Q U F	910 0 879
R K A	1240 0 1207
I M Y S	960 0 885 1035
P Y F	959 0 883 1035
A M T	907 0 876
Q E U	386 0 318 453
K I R C	1052 1204 1227 0 1029 1278
N M E U	386 0 318 453
A C M I	831 892 953 0 786 998
K H G	1043 0 1014
U A I M	918 0 887
N R T H	1241 0 1207
H H E H	605 793 917 0 589 949
K D P Y	979 0 878 1030
T U S S	912 0 881
E T	422 667 911 0 391 942
U O I P	1057 0 1025
V K E Q	917 0 877 1081
Y C F	901 0 790 945
F D R P	1058 1183 1236 0 1023 1278
T M M	918 0 887
S I W P	1057 0 1025
E I W	422 681 940 0 391 971
L Y W Q	959 0 883 1035
U C S P	816 938 1059 0 784 1092
N E H T	594 771 910 0 562 942
E N C R	860 0 785 935
O O I V	959 0 928
N E M	422 672 922 0 391 953
V P A	966 0 935
A T I K	1047 0 1015
K E H	917 0 878 1079
N E K H	917 0 878 1079
A D E	410 0 333 458
T U U	345 0 314
E H U L	594 795 961 0 562 992
U U K	1047 0 1015
H A O O	960 0 927
E P G G	422 692 961 0 391 992
I S K D	975 0 925 1079
F M O	962 0 931
Q O Q H	912 0 879
R E N Y	958 0 878 1038
E I L	422 692 961 0 391 992
Y S E D	417 0 330 462
T N N H	912 0 879
T I R F	1243 0 1210
R I C P	1058 1183 1235 0 1023 1278
D R S	910 1097 1248 0 877 1280
C E T	422 605 823 0 391 852
V Q I F	910 0 879
M V G O	962 0 931
T F I	965 0 934
R N G I	1243 0 1210
P C G	835 888 941 0 786 990
S K Y	1014 0 972 1087
A Y Y	989 0 884 1017
K A Y	1014 0 972 1087
O G D	362 961 0 331 992
F D N	362 622 881 0 331 912
S E U	386 0 318 453
Q M F Y	958 0 881 1035
F R A F	1243 0 1210
O D R	899 1091 1248 0 866 1280
W T G R	1243 0 1210
U K Y	1014 0 972 1087
R C A	963 1125 1247 0 931 1280
L F T S	912 0 881
H M L P	1055 0 1022
Q G Y W	972 0 908 1035
D C E A	417 0 330 462
S Q D K	896 0 859 1082
E O O G	422 692 961 0 391 992
S U U	345 0 314
E I N D	410 0 333 458
N L V	959 0 928
S G C L	835 888 941 0 786 990
P W Q E	422 695 968 0 391 999
T U T	907 0 876
L D K O	981 0 930 1079
L M E A	422 696 970 0 391 1001
C V K L	973 0 924 1079
P U T	907 0 876
G A	966 0 935
G E P M	422 672 922 0 391 953
V S S L	957 0 926
L L	957 0 926
G G K L	1046 0 1017
M E O	422 694 966 0 391 997
O H E	594 798 968 0 562 999
T N I T	907 0 876
N P C	818 922 1025 0 784 1059
O E W	422 681 940 0 391 971
H P K	1045 0 1011
Q S R	1243 0 1210
A K F	1046 0 1015
S W W	936 0 905
K Y H M	1008 0 969 1090
S W Q	910 0 879
M S M I	965 0 934
I H V A	964 0 931
P C E P	422 605 821 0 391 853
N W F R	1243 0 1210
P G Q	910 0 879
I E T	422 667 911 0 391 942
D O M E	410 0 333 458
H U Q S	910 0 877
D S S O	362 966 0 331 997
I S D	362 961 0 331 992
F T R M	1243 0 1210
C V Q K	893 0 862 1082
S H A F	908 0 875
M O C	818 922 1025 0 784 1059
G G Y	958 0 881 1035
P E L P	422 1061 0 391 1092
G K E V	977 0 927 1079
O D G	362 961 0 331 992
Y E V E	435 0 369 471
R A V C	1024 1159 1243 0 990 1279
O P N	877 0 846
D N L	362 961 0 331 992
K N O N	1047 0 1015
V D S M	362 922 0 331 953
N D N	362 622 881 0 331 912
C P D	362 575 822 0 331 854
P C P	816 938 1059 0 784 1092
E N G	422 692 961 0 391 992
V I I	965 0 934
I N S I	965 0 934
I U A V	959 0 928
V U K T	1046 0 1015
M P R R	1253 0 1232
O L M	918 0 887
U Q H	912 0 879
M F D	362 961 0 331 992
O H U E	594 798 968 0 562 999
N Q U	345 0 314
D T F T	362 637 911 0 331 942
T K D T	913 0 874 1081
V W V I	965 0 934
M R V K	1240 0 1207
S C F	864 0 788 941
G D R	899 1091 1248 0 866 1280
I G N C	818 922 1025 0 784 1059
Y U O	985 0 931 1039
K G W T	1046 0 1015
T Q Y D	362 962 0 331 985
Y V E	422 680 967 0 391 990
C V N M	868 0 788 949
U O H K	1045 0 1011
W I O Y	958 0 881 1035
I D W Q	362 638 914 0 331 945
O M G D	362 961 0 331 992
L T E	422 695 968 0 391 999
G O U	345 0 314
N M K	1047 0 1015
T U L K	1047 0 1015
O K V	1046 0 1017
G O E V	422 693 963 0 391 994
M K E M	927 0 885 1080
E K E	433 695 972 0 413 1000
F V F	910 0 879
T E D R	420 664 907 0 395 939
H T M M	916 0 883
F N M E	422 695 968 0 391 999
K T U S	1046 0 1015
O W G	957 0 926
A O U	345 0 314
V D K	896 0 859 1082
M A V	959 0 928
O G T W	936 0 905
W G O U	345 0 314
K K Y P	1052 0 1031 1113
T U V H	912 0 879
H T L	955 0 922
Y E I N	422 636 885 0 391 916
I W F N	877 0 846
T H G V	957 0 924
T C K A	983 0 934 1080
O E A K	896 0 859 1082
S W T	907 0 876
A N M A	966 0 935
S U W R	1243 0 1210
I Y	958 0 881 1035
D N F R	899 1091 1248 0 866 1280
Y U E	422 680 967 0 391 990
R M R O	1253 0 1232
H C F D	598 708 820 0 563 854
G Q H V	957 0 924
M C T C	824 0 767 862
Y E O U	407 0 318 458
C S O D	362 575 822 0 331 854
O L M M	918 0 887
O E M D	410 0 333 458
V O E S	422 669 916 0 391 947
W M I	965 0 934
U H M E	594 798 968 0 562 999
D G H	595 774 917 0 563 949
L G M	918 0 887
O R P	1242 0 1210
A K O	1046 0 1017
Y S T	957 0 880 1035
U N K	1047 0 1015
C Q F H	832 0 783 943
W F Q E	422 695 968 0 391 999
H P M M	916 0 883
G R P R	1253 0 1232
L L U	345 0 314
V D U	356 0 308 403
F Y	958 0 881 1035
E H E	437 526 594 0 413 634
U M K I	1046 0 1018
K Y I C	1017 0 965 1054
U U D	362 961 0 331 992
O W G A	966 0 935
N R V	1243 0 1210
F Q R	1243 0 1210
Y T P Y	989 0 884 1017
C V P	816 938 1059 0 784 1092
Q O M	918 0 887
Q K T	1046 0 1015
G F D	362 961 0 331 992
I T H R	1241 0 1207
H F Y	926 0 876 1033
F M E	422 695 968 0 391 999
V S G	957 0 926
R M P	1242 0 1210
R G D L	955 1120 1248 0 922 1280
H S T F	908 0 875
P K R	1240 0 1207
Q E G K	896 0 859 1082
T N U D	362 961 0 331 992
N U H	912 0 879
Q K Q	1046 0 1015
U H Q	908 0 875
U A I	965 0 934
N S Y M	963 0 891 1035
W M S I	965 0 934
V L L I	965 0 934
D Y T S	362 624 920 0 331 949
D V V	362 963 0 331 994
D P Y	362 622 916 0 331 945
E P C	422 605 821 0 391 854
S G P	1057 0 1025
K K H P	1062 0 1045
N K V	1046 0 1017
V F T	907 0 876
W O M M	918 0 887
Q G I Y	958 0 881 1035
C H K	889 0 858 1081
Q S S	912 0 881
W O M Y	958 0 881 1035
T W W	936 0 905
V F R	1243 0 1210
F S N F	910 0 879
C T G	835 888 941 0 786 990
V A R W	1243 0 1210
E E M	431 0 374 469
D V C O	362 575 822 0 331 854
C V S	865 0 788 943
G E Q	422 668 914 0 391 945
G L Y K	1015 0 971 1087
M N E O	422 694 966 0 391 997
E H W	594 785 940 0 562 971
L M Q I	965 0 934
K S R L	1240 0 1207
U O G	957 0 926
Q M H	912 0 879
T E I Q	422 668 914 0 391 945
C K N	877 1010 1028 0 849 1083
L M K	1047 0 1015
K H M T	1044 0 1011
C K M T	910 0 875 1081
O E F	422 668 914 0 391 945
L Q A U	345 0 314
V I P	1057 0 1025
E F V	422 693 963 0 391 994
O K S S	1046 0 1015
V R Q	1243 0 1210
W O Y C	828 876 1001 0 785 1024
Y Y N T	989 0 883 1017
G P T	907 0 876
W F W	936 0 905
L P N M	918 0 887
I V O	962 0 931
I E R R	1236 0 1200 1302
P M F	910 0 879
N A L C	818 922 1025 0 784 1059
O I G C	818 922 1025 0 784 1059
C V G G	835 888 941 0 786 990
L E N	422 652 881 0 391 912
N U Q H	912 0 879
O E A	422 696 970 0 391 1001
V G H P	1055 0 1022
W C A L	835 888 941 0 786 990
M L U	345 0 314
P W W U	345 0 314
G T Q	910 0 879
H D I	595 799 969 0 563 1000
F E D C	417 0 330 462
U N W	936 0 905
R F E T	905 1094 1248 0 872 1280
F F U Y	958 0 881 1035
O L	957 0 926
E Q H	594 774 917 0 562 949
N K K W	1058 0 1037
H T K	1045 0 1011
W A K C	1030 0 988 1093
H F S P	1055 0 1022
M Y G	982 0 927 1038
A U O K	1047 0 1015
L G R	1243 0 1210
C R M L	954 1121 1248 0 922 1280
T E Y Q	422 653 918 0 391 947
U N C Y	899 0 790 943
T H E V	594 796 963 0 562 994
O F S	912 0 881
K H Y F	1008 0 968 1090
S R P L	1243 0 1210
M K D H	917 0 878 1079
T D U F	362 638 914 0 331 945
V I K	1047 0 1015
S A T	907 0 876
E E D D	380 0 305 407
H V N O	960 0 927
L W C	818 922 1025 0 784 1059
L C O V	834 889 944 0 786 992
U K T	1046 0 1015
M F H Q	908 0 875
C L U R	897 1091 1248 0 869 1280
W F K I	1046 0 1018
H E V C	597 708 818 0 563 853
H T G T	905 0 872
D R N S	910 1097 1248 0 877 1280
O M H	912 0 879
G S G	957 0 926
U N Y	958 0 881 1035
Q Q U O	962 0 931
I N Y	958 0 881 1035
R P O A	1243 0 1210
W M G Y	958 0 881 1035
E Y O	422 679 966 0 391 989
P U D S	362 639 916 0 331 947
I Y C O	961 0 788 988
E V G	422 692 961 0 391 992
F T O	962 0 931
D Y S K	985 0 862 1030
W O T M	918 0 887
U R N	1243 0 1210
N T K	1047 0 1015
E K A	985 0 934 1080
A L A	966 0 935
S U N	877 0 846
R T H	1241 0 1207
M E K	896 0 859 1082
L I V N	877 0 846
E Y L E	435 0 369 471
R O H	1241 0 1207
N N Y	958 0 881 1035
A C K R	1046 1199 1228 0 1012 1278
W Y N	913 942 972 0 849 1036
L T Y M	963 0 891 1035
N K Q W	1046 0 1015
G W H N	875 0 842
T R T	1243 0 1210
S T R	1243 0 1210
F I S	912 0 881
C Q V	834 889 944 0 786 992
D K W	949 0 904 1079
E Y U	407 0 318 458
F N S P	1057 0 1025
E C U F	422 605 823 0 391 852
N C V	834 889 944 0 786 992
W F S L	957 0 926
K W A Q	1046 0 1015
I S H	912 0 879
R H I	1241 0 1207
L U U	345 0 314
P E S Y	422 652 916 0 391 945
H K L	1043 0 1014
M E R	899 1091 1248 0 866 1280
I Y S H	933 0 882 1033
F C G	835 888 941 0 786 990
I Q S	912 0 881
A E M O	422 694 966 0 391 997
L V N	877 0 846
P P D D	371 0 314 409
Q M G C	818 922 1025 0 784 1059
E Y K U	418 715 1008 0 391 1032
S R A U	1243 0 1210
V M T	907 0 876
K V F R	1240 0 1207
O P T R	1243 0 1210
P G T R	1243 0 1210
U L D K	896 0 859 1082
S L D	362 961 0 331 992
U P R M	1243 0 1210
C D N F	362 575 823 0 331 852
S Q I	965 0 934
W R P Y	1000 1147 1245 0 971 1279
N A U	345 0 314
T D F G	362 961 0 331 992
T H K U	1046 0 1012
W E A S	422 669 916 0 391 947
W T H	912 0 879
T N Y L	982 0 927 1038
I C S	865 0 788 943
F R G S	1243 0 1210
G C P	816 938 1059 0 784 1092
Y T Q	959 0 883 1035
K R O	1240 0 1207
W W S	912 0 881
H P I H	910 0 876
R E F N	875 1079 1248 0 843 1280
S E D	410 0 333 458
D Y G E	417 0 330 462
L A C	818 922 1025 0 784 1059
Y F H T	925 0 875 1033
R C M	914 1100 1248 0 884 1280
G O R N	1243 0 1210
A R W O	1243 0 1210
R T L	1243 0 1210
T U G Y	958 0 881 1035
Q D I H	595 774 917 0 563 949
L A D O	362 966 0 331 997
H F K	1045 0 1011
M I V	959 0 928
V U D	362 961 0 331 992
P H V P	1055 0 1022
Y S F N	913 942 972 0 849 1036
T U Q	910 0 879
N I U	345 0 314
F R H Q	1241 0 1207
Q A R	1243 0 1210
L S T F	910 0 879
K P H T	1044 0 1011
T L O	962 0 931
G P A Y	958 0 881 1035
C E H D	428 499 600 0 396 638
I S C	818 922 1025 0 784 1059
V H T N	875 0 842
G Y U U	345 1008 0 314 1039
U V M Y	958 0 881 1035
H G O I	963 0 930
U O V H	912 0 879
L O Y L	982 0 927 1038
U S F	910 0 879
V Y O H	933 0 882 1033
A I H S	910 0 877
S W T Y	958 0 881 1035
K T F O	1046 0 1017
A R L T	1243 0 1210
O K P	1065 0 1045
K M T T	1046 0 1015
L Y D H	595 757 922 0 563 950
Q C P V	834 889 944 0 786 992
S R M N	1243 0 1210
A D U	356 0 308 403
Q L Q	910 0 879
A W F	910 0 879
K E I Y	979 0 878 1030
P H C U	596 731 813 0 563 849
D D T Q	371 0 314 409
K L A W	1046 0 1015
D R W	934 1109 1248 0 901 1280
I S V	959 0 928
T T Y	958 0 881 1035
K A C	1030 0 988 1093
W U C	818 922 1025 0 784 1059
A P N	877 0 846
R U K F	1240 0 1207
F G W	936 0 905
M K Q G	1046 0 1017
K R I	1240 0 1207
R F H E	960 1135 1247 0 926 1280
M I O	962 0 931
I E H	594 774 917 0 562 949
E T V	422 693 963 0 391 994
E C F S	422 605 823 0 391 852
Q M G	957 0 926
D O G D	371 0 314 409
W Q E	422 695 968 0 391 999
M G E Y	422 652 916 0 391 945
O Q H	912 0 879
V P Y	958 0 881 1035
L U Q E	422 695 968 0 391 999
W F F R	1243 0 1210
V U V F	910 0 879
M I M	918 0 887
C U C	824 0 767 862
V Y O N	913 942 972 0 849 1036
D N Q F	362 638 914 0 331 945
I Q P H	912 0 879
V O G	957 0 926
F Y W	972 0 908 1035
D G Y	362 622 916 0 331 945
L I I	965 0 934
N I N M	918 0 887
V A F V	959 0 928
S S H	912 0 879
Q C E	422 605 822 0 391 854
H Q V V	957 0 924
D A C	362 575 821 0 331 854
Y N K E	990 0 930 1034
O S R	1243 0 1210
N T D	362 961 0 331 992
H W G	955 0 922
S F W V	959 0 928
C N W H	832 0 783 943
C N M M	868 0 788 949
K A I P	1065 0 1045
L T Y	958 0 881 1035
E S H K	892 0 855 1081
W C L R	897 1091 1248 0 869 1280
I I C	818 922 1025 0 784 1059
M V L	957 0 926
O M V	959 0 928
O M R D	955 1120 1248 0 922 1280
G F R	1243 0 1210
U I O	962 0 931
W T K U	1048 0 1015
Y R A D	982 0 924 1041
H M T	905 0 872
M C N R	897 1091 1248 0 869 1280
F I D G	362 961 0 331 992
M P K	1047 0 1015
D G E	410 0 333 458
G E N A	422 696 970 0 391 1001
H S R Y	998 1160 1244 0 967 1279
M V G C	818 922 1025 0 784 1059
D G P	362 1061 0 331 1092
M Y V	983 0 928 1038
C M A	830 892 954 0 786 999
K R G G	1240 0 1207
V A V P	1057 0 1025
A L K	1047 0 1015
P P H	912 0 879
Q W D L	362 961 0 331 992
U W H Q	908 0 875
E I W F	422 668 914 0 391 945
E E Q	431 0 374 469
V R F G	1243 0 1210
T V G G	957 0 926
U K H F	1044 0 1011
T Y U T	957 0 880 1035
R A S	1243 0 1210
L U K H	1044 0 1011
H V N A	964 0 931
T P K	1047 0 1015
O T M	918 0 887
O G S I	965 0 934
E F R	899 1091 1248 0 866 1280
C R K I	1045 1200 1228 0 1015 1278
T S N D	362 961 0 331 992
U L U T	907 0 876
Y D M	362 627 926 0 331 954
C G D	362 575 822 0 331 854
K E M	927 0 885 1080
S U Y	958 0 881 1035
O A D	362 961 0 331 992
I C A T	863 0 788 938
G O W H	912 0 879
N R C R	1236 0 1200 1302
Q P O T	907 0 876
W S C P	816 938 1059 0 784 1092
P N C	818 922 1025 0 784 1059
P R W N	1243 0 1210
Y H W W	954 0 904 1036
W H O	960 0 927
F Q U K	1047 0 1015
D M G	362 961 0 331 992
M I U V	959 0 928
D N Q L	362 961 0 331 992
F S A W	936 0 905
R N U	1243 0 1210
U M M L	957 0 926
O U P	1057 0 1025
U A A T	907 0 876
N H U	595 0 563
M U Q U	345 0 314
I Q N Y	958 0 881 1035
U P P F	910 0 879
C K D	835 881 949 0 783 992
O N I E	422 695 968 0 391 999
O G W	936 0 905
A E L C	422 605 821 0 391 854
R Q U S	1243 0 1210
V O I	965 0 934
K G L	1046 0 1017
K K V	1058 0 1038
M H A N	875 0 842
R N F E	962 1124 1247 0 930 1280
I F F E	422 695 968 0 391 999
E O W	422 681 940 0 391 971
K W Q	1046 0 1015
W D U	356 0 308 403
L K V W	1046 0 1015
Q Y K H	1008 0 969 1090
D U V	362 963 0 331 994
L S M	918 0 887
F F G R	1243 0 1210
P V S W	936 0 905
O F W	936 0 905
E I C D	417 0 330 462
E L F E	431 0 374 469
L U A	966 0 935
C C D	362 566 811 0 331 831
M Q E N	422 652 881 0 391 912
K P I	1046 0 1018
E S C	422 605 821 0 391 854
A Q C	818 922 1025 0 784 1059
W G P N	877 0 846
K N E O	981 0 930 1079
V N L K	1047 0 1015
A P W	936 0 905
N T	907 0 876
I P D O	362 966 0 331 997
Y S E	422 680 967 0 391 990
N R	1243 0 1210
Y I E P	422 700 1009 0 391 1034
C H Y Y	894 0 786 948
G N Y	958 0 881 1035
L C A P	816 938 1059 0 784 1092
R H U O	1241 0 1207
E L G	422 692 961 0 391 992
F F W F	910 0 879
P R Q	1243 0 1210
H E P	594 844 1061 0 562 1092
U D I A	362 970 0 331 1001
D T P	362 1061 0 331 1092
R N F	1243 0 1210
R Y U A	1005 1148 1245 0 982 1279
D C P	362 575 821 0 331 853
E O E A	431 0 374 469
F R H	1241 0 1207
N S D V	362 963 0 331 994
S Y H M	937 0 886 1034
Y F F O	985 0 931 1039
W N K W	1046 0 1015
K A Q I	1046 0 1018
I T R	1243 0 1210
C V C H	818 0 770 862
V I F	910 0 879
D I D H	374 488 601 0 353 635
Q L H	912 0 879
E A O O	422 694 966 0 391 997
D U T	362 637 911 0 331 942
Q I W S	912 0 881
M Y O	985 0 931 1039
K O L	1046 0 1017
C C E D	421 0 328 465
N O I	965 0 934
Q P M	918 0 887
U G I	965 0 934
F N Q E	422 695 968 0 391 999
L W R M	1243 0 1210
M D H G	595 795 961 0 563 992
V V A S	912 0 881
T D M N	362 622 881 0 331 912
G W O	962 0 931
Q R U	1243 0 1210
I T L	957 0 926
A O E	422 695 968 0 391 999
K C E W	909 0 784 971
Q K V	1046 0 1017
K D P	1048 0 1009 1106
C F W H	832 0 783 943
F R F	1243 0 1210
L E N C	422 605 821 0 391 854
M R G	1243 0 1210
I N R	1243 0 1210
A E W T	422 667 911 0 391 942
C T T D	362 575 822 0 331 854
P G D	362 961 0 331 992
I C M M	868 0 788 949
H N V	957 0 924
N V Y F	959 0 883 1035
N E S Y	422 652 916 0 391 945
F N A	966 0 935
A C C Q	824 0 767 859
N W A V	959 0 928
V O Y T	957 0 880 1035
C W G F	864 0 788 941
U T H R	1241 0 1207
A E R	899 1091 1248 0 866 1280
L E M L	422 692 961 0 391 992
V Y V	983 0 928 1038
Q C C	824 0 767 862
